DATE,PRCP,TMAX,TMIN,RAIN,RAIN_BOOL
1/1/2011,0,40,26,FALSE,0
1/2/2011,0,39,25,FALSE,0
1/3/2011,0,42,27,FALSE,0
1/4/2011,0.03,38,28,TRUE,1
1/5/2011,0.12,45,35,TRUE,1
1/6/2011,0.17,49,44,TRUE,1
1/7/2011,0.37,48,37,TRUE,1
1/8/2011,0.03,40,34,TRUE,1
1/9/2011,0.02,39,31,TRUE,1
1/10/2011,0,38,30,FALSE,0
1/11/2011,0.3,39,30,TRUE,1
1/12/2011,0.81,47,33,TRUE,1
1/13/2011,0.82,53,43,TRUE,1
1/14/2011,0.29,54,49,TRUE,1
1/15/2011,0.45,52,47,TRUE,1
1/16/2011,0.27,55,50,TRUE,1
1/17/2011,0.04,50,42,TRUE,1
1/18/2011,0.08,42,37,TRUE,1
1/19/2011,0,45,35,FALSE,0
1/20/2011,0.05,44,33,TRUE,1
1/21/2011,0.51,49,44,TRUE,1
1/22/2011,0,49,40,FALSE,0
1/23/2011,0.04,46,41,TRUE,1
1/24/2011,0.21,48,44,TRUE,1
1/25/2011,0,50,43,FALSE,0
1/26/2011,0,54,39,FALSE,0
1/27/2011,0,50,37,FALSE,0
1/28/2011,0.14,52,39,TRUE,1
1/29/2011,0.24,48,43,TRUE,1
1/30/2011,0,44,37,FALSE,0
1/31/2011,0,44,34,FALSE,0
2/1/2011,0,46,32,FALSE,0
2/2/2011,0,51,29,FALSE,0
2/3/2011,0.01,49,39,TRUE,1
2/4/2011,0.07,50,45,TRUE,1
2/5/2011,0.08,47,43,TRUE,1
2/6/2011,0.25,50,43,TRUE,1
2/7/2011,0.05,48,39,TRUE,1
2/8/2011,0,46,35,FALSE,0
2/9/2011,0,45,28,FALSE,0
2/10/2011,0,47,29,FALSE,0
2/11/2011,0,47,35,FALSE,0
2/12/2011,0.37,54,40,TRUE,1
2/13/2011,0.24,52,41,TRUE,1
2/14/2011,0.54,50,40,TRUE,1
2/15/2011,0.09,46,37,TRUE,1
2/16/2011,0.04,44,34,TRUE,1
2/17/2011,0.11,44,34,TRUE,1
2/18/2011,0,49,32,FALSE,0
2/19/2011,0,43,32,FALSE,0
2/20/2011,0,45,27,FALSE,0
2/21/2011,0.03,45,34,TRUE,1
2/22/2011,0.04,44,32,TRUE,1
2/23/2011,0.24,37,27,TRUE,1
2/24/2011,0,35,24,FALSE,0
2/25/2011,0,31,20,FALSE,0
2/26/2011,0,34,19,FALSE,0
2/27/2011,0.47,42,33,TRUE,1
2/28/2011,0.42,40,34,TRUE,1
3/1/2011,0.24,44,34,TRUE,1
3/2/2011,0.07,50,36,TRUE,1
3/3/2011,0.22,48,36,TRUE,1
3/4/2011,0.12,49,33,TRUE,1
3/5/2011,0.02,50,38,TRUE,1
3/6/2011,0,47,34,FALSE,0
3/7/2011,0,48,36,FALSE,0
3/8/2011,0.16,52,38,TRUE,1
3/9/2011,1.47,52,42,TRUE,1
3/10/2011,0.55,53,39,TRUE,1
3/11/2011,0,53,38,FALSE,0
3/12/2011,0.41,48,42,TRUE,1
3/13/2011,0.33,53,43,TRUE,1
3/14/2011,0.12,53,44,TRUE,1
3/15/2011,0.37,55,42,TRUE,1
3/16/2011,0.09,48,38,TRUE,1
3/17/2011,0,51,37,FALSE,0
3/18/2011,0.27,50,38,TRUE,1
3/19/2011,0,54,36,FALSE,0
3/20/2011,0.01,50,37,TRUE,1
3/21/2011,0.01,50,40,TRUE,1
3/22/2011,0,51,37,FALSE,0
3/23/2011,0,62,34,FALSE,0
3/24/2011,0.23,61,41,TRUE,1
3/25/2011,0.33,55,39,TRUE,1
3/26/2011,0.15,50,37,TRUE,1
3/27/2011,0.28,51,39,TRUE,1
3/28/2011,0.14,51,41,TRUE,1
3/29/2011,0.12,49,43,TRUE,1
3/30/2011,0.26,51,48,TRUE,1
3/31/2011,0.32,54,46,TRUE,1
4/1/2011,1.13,48,41,TRUE,1
